date,season,home_team,away_team,target_result,target_home_goals,target_away_goals,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_recent_goals_scored,home_recent_goals_conceded,home_recent_points_per_game,home_recent_clean_sheets,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_recent_goals_scored,away_recent_goals_conceded,away_recent_points_per_game,away_recent_clean_sheets,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio
2022-08-14 13:00:00,2022-to-2023,Ajaccio,Lens,Draw,0,0,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.1111111111111111,0.5555555555555556,9.0,5.0,32.0,3.125,3.0,0.3333333333333333,18.0,5.0,1.0,0.8333333333333334,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.3333333333333333,0.0,3.0,2.0,3.0,0.0,0.17647058823529413,0.4117647058823529,17.0,7.0,62.0,4.838709677419355,6.0,0.5,16.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-14 13:00:00,2022-to-2023,Troyes,Toulouse,AwayWin,0,3,1,0.0,0.0,1.0,0.0,2.0,3.0,-1.0,1.0,0.6666666666666666,2.0,3.0,0.0,0.0,0.1111111111111111,0.6111111111111112,18.0,11.0,47.0,4.25531914893617,6.0,0.3333333333333333,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.42857142857142855,7.0,3.0,46.0,2.1739130434782608,6.0,0.16666666666666666,10.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-14 15:05:00,2022-to-2023,Nice,Strasbourg,Draw,1,1,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.42857142857142855,14.0,6.0,54.0,1.8518518518518516,3.0,0.3333333333333333,8.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.5,1.0,2.0,0.0,0.0,0.07142857142857142,0.6428571428571429,14.0,9.0,53.0,1.8867924528301887,3.0,0.3333333333333333,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-14 18:45:00,2022-to-2023,Brest,Olympique Marseille,Draw,1,1,1,0.0,0.0,1.0,0.0,2.0,3.0,-1.0,0.0,0.3333333333333333,2.0,3.0,0.0,0.0,0.25,0.75,8.0,6.0,38.0,5.263157894736842,3.0,0.6666666666666666,14.0,4.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,4.0,1.0,3.0,0.5,0.0,4.0,1.0,3.0,0.0,0.23529411764705882,0.47058823529411764,17.0,8.0,56.0,7.142857142857142,6.0,0.6666666666666666,14.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-08-19 19:00:00,2022-to-2023,Olympique Lyonnais,Troyes,HomeWin,4,1,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.18181818181818182,0.45454545454545453,11.0,5.0,68.0,2.941176470588235,4.0,0.5,10.0,1.0,1.0,1.0,1,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2,0.0,0.0,2.0,0.0,1.0,3.0,-2.0,1.0,0.5,1.0,3.0,0.0,0.0,0.06451612903225806,0.41935483870967744,15.5,6.5,39.5,2.5316455696202533,6.0,0.16666666666666666,12.0,1.0,0.0,0.5,1,0.0,2.0,3.0,0.0,0.5,0.0,0.0
2022-08-20 15:00:00,2022-to-2023,Monaco,Lens,AwayWin,1,4,2,1.0,1.0,0.0,2.0,1.5,1.0,0.5,0.25,0.0,1.5,1.0,2.0,0.0,0.07317073170731707,0.4634146341463415,20.5,9.5,40.5,3.7037037037037033,4.0,0.375,10.5,1.0,0.5,0.3333333333333333,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1.0,0.0,2.0,1.5,1.0,0.5,0.3333333333333333,0.0,1.5,1.0,2.0,0.5,0.0967741935483871,0.3870967741935484,15.5,6.0,63.0,2.380952380952381,4.5,0.3333333333333333,9.5,2.0,0.0,0.25,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2022-08-20 19:00:00,2022-to-2023,Olympique Marseille,Nantes,HomeWin,2,1,2,1.0,1.0,0.0,2.0,2.5,1.0,1.5,0.75,0.0,2.5,1.0,2.0,0.0,0.21739130434782608,0.4782608695652174,11.5,5.5,55.0,4.545454545454546,5.5,0.45454545454545453,14.5,2.5,0.0,0.2,1,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2,0.0,2.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.041666666666666664,0.2916666666666667,12.0,3.5,40.5,1.2345679012345678,5.5,0.09090909090909091,13.5,2.0,0.0,0.25,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2022-08-21 11:00:00,2022-to-2023,Strasbourg,Reims,Draw,1,1,2,0.0,1.0,1.0,0.5,1.0,1.5,-0.5,0.0,0.75,1.0,1.5,0.5,0.0,0.08333333333333333,0.625,12.0,7.5,49.5,2.0202020202020203,3.0,0.3333333333333333,15.0,2.0,0.0,0.5,1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2,0.0,0.0,2.0,0.0,1.5,4.0,-2.5,0.5,0.25,1.5,4.0,0.0,0.0,0.10714285714285714,0.4642857142857143,14.0,6.5,42.5,3.5294117647058822,4.0,0.375,5.5,1.5,0.5,0.25,1,0.0,1.0,4.0,0.0,1.0,0.0,0.5
2022-08-21 13:00:00,2022-to-2023,Angers SCO,Brest,AwayWin,1,3,2,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.06896551724137931,0.3793103448275862,14.5,5.5,54.5,1.834862385321101,4.0,0.25,8.0,3.0,0.0,0.3333333333333333,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2,0.0,1.0,1.0,0.5,1.5,2.0,-0.5,0.0,0.6666666666666666,1.5,2.0,0.5,0.0,0.11538461538461539,0.5,13.0,6.5,42.0,3.571428571428571,5.0,0.3,12.0,2.5,0.0,0.4,1,0.0,2.0,3.0,0.0,1.0,0.0,0.0
2022-08-21 13:00:00,2022-to-2023,Clermont,Nice,HomeWin,1,0,2,1.0,0.0,1.0,1.5,2.0,3.5,-1.5,0.0,0.8,2.0,3.5,1.5,0.0,0.19047619047619047,0.42857142857142855,10.5,4.5,49.0,4.081632653061225,3.0,0.6666666666666666,6.5,2.5,0.0,0.8,1,0.0,0.0,5.0,0.0,0.5,0.5,0.0,2,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.07407407407407407,0.3333333333333333,13.5,4.5,54.0,1.8518518518518516,5.0,0.2,7.5,1.5,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
